Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Colombia,2015,All ages,Both,Tuberculosis,Percent of total DALYs,0.002522109,0.002217045,0.002865178
Colombia,1990 - 2015,All ages,Both,Tuberculosis,DALYs annual % change,-0.045689791,,
Colombia,2015,All ages,Both,HIV/AIDS,Percent of total DALYs,0.011179176,0.009799983,0.012817301
Colombia,1990 - 2015,All ages,Both,HIV/AIDS,DALYs annual % change,0.054846458,,
Colombia,2015,All ages,Both,Diarrheal diseases,Percent of total DALYs,0.007139538,0.006260276,0.00856136
Colombia,1990 - 2015,All ages,Both,Diarrheal diseases,DALYs annual % change,-0.082380963,,
Colombia,2015,All ages,Both,Intestinal infectious diseases,Percent of total DALYs,8.21324E-05,4.04234E-05,0.000146522
Colombia,1990 - 2015,All ages,Both,Intestinal infectious diseases,DALYs annual % change,-0.033216374,,
Colombia,2015,All ages,Both,Lower respiratory infections,Percent of total DALYs,0.022141209,0.018414625,0.02605133
Colombia,1990 - 2015,All ages,Both,Lower respiratory infections,DALYs annual % change,-0.040874965,,
Colombia,2015,All ages,Both,Upper respiratory infections,Percent of total DALYs,0.002131475,0.00128726,0.003437886
Colombia,1990 - 2015,All ages,Both,Upper respiratory infections,DALYs annual % change,-0.004398855,,
Colombia,2015,All ages,Both,Otitis media,Percent of total DALYs,0.001840848,0.001285644,0.002528232
Colombia,1990 - 2015,All ages,Both,Otitis media,DALYs annual % change,-0.014796877,,
Colombia,2015,All ages,Both,Meningitis,Percent of total DALYs,0.002933608,0.002480792,0.003529655
Colombia,1990 - 2015,All ages,Both,Meningitis,DALYs annual % change,-0.064341795,,
Colombia,2015,All ages,Both,Encephalitis,Percent of total DALYs,0.001576075,0.001308283,0.002028988
Colombia,1990 - 2015,All ages,Both,Encephalitis,DALYs annual % change,-0.009929237,,
Colombia,2015,All ages,Both,Diphtheria,Percent of total DALYs,6.14127E-06,1.69311E-06,1.49775E-05
Colombia,1990 - 2015,All ages,Both,Diphtheria,DALYs annual % change,-0.070232099,,
Colombia,2015,All ages,Both,Whooping cough,Percent of total DALYs,0.000212498,6.73716E-05,0.00043475
Colombia,1990 - 2015,All ages,Both,Whooping cough,DALYs annual % change,-0.053996341,,
Colombia,2015,All ages,Both,Tetanus,Percent of total DALYs,6.29285E-05,4.88598E-05,8.04716E-05
Colombia,1990 - 2015,All ages,Both,Tetanus,DALYs annual % change,-0.128350873,,
Colombia,2015,All ages,Both,Measles,Percent of total DALYs,1.82E-08,0,9.74E-08
Colombia,1990 - 2015,All ages,Both,Measles,DALYs annual % change,-0.462636452,,
Colombia,2015,All ages,Both,Varicella and herpes zoster,Percent of total DALYs,0.000392855,0.000285942,0.000635058
Colombia,1990 - 2015,All ages,Both,Varicella and herpes zoster,DALYs annual % change,-0.015980984,,
Colombia,2015,All ages,Both,Malaria,Percent of total DALYs,0.000376073,0.000233041,0.000678065
Colombia,1990 - 2015,All ages,Both,Malaria,DALYs annual % change,-0.069826827,,
Colombia,2015,All ages,Both,Chagas disease,Percent of total DALYs,0.000505963,0.000449536,0.000569402
Colombia,1990 - 2015,All ages,Both,Chagas disease,DALYs annual % change,0.014274919,,
Colombia,2015,All ages,Both,Leishmaniasis,Percent of total DALYs,6.03504E-05,4.46284E-05,8.16911E-05
Colombia,1990 - 2015,All ages,Both,Leishmaniasis,DALYs annual % change,-0.016366885,,
Colombia,2015,All ages,Both,African trypanosomiasis,Percent of total DALYs,0,0,0
Colombia,1990 - 2015,All ages,Both,African trypanosomiasis,DALYs annual % change,0,,
Colombia,2015,All ages,Both,Schistosomiasis,Percent of total DALYs,0,0,0
Colombia,1990 - 2015,All ages,Both,Schistosomiasis,DALYs annual % change,0,,
Colombia,2015,All ages,Both,Cysticercosis,Percent of total DALYs,9.8397E-05,7.41239E-05,0.000127726
Colombia,1990 - 2015,All ages,Both,Cysticercosis,DALYs annual % change,-0.069687632,,
Colombia,2015,All ages,Both,Cystic echinococcosis,Percent of total DALYs,3.22858E-05,2.52583E-05,4.02755E-05
Colombia,1990 - 2015,All ages,Both,Cystic echinococcosis,DALYs annual % change,-0.019398793,,
Colombia,2015,All ages,Both,Lymphatic filariasis,Percent of total DALYs,0,0,0
Colombia,1990 - 2015,All ages,Both,Lymphatic filariasis,DALYs annual % change,0,,
Colombia,2015,All ages,Both,Onchocerciasis,Percent of total DALYs,0,0,0
Colombia,1990 - 2015,All ages,Both,Onchocerciasis,DALYs annual % change,0,,
Colombia,2015,All ages,Both,Trachoma,Percent of total DALYs,0,0,0
Colombia,1990 - 2015,All ages,Both,Trachoma,DALYs annual % change,0,,
Colombia,2015,All ages,Both,Dengue,Percent of total DALYs,0.00152656,0.000494456,0.002380956
Colombia,1990 - 2015,All ages,Both,Dengue,DALYs annual % change,0.081193275,,
Colombia,2015,All ages,Both,Yellow fever,Percent of total DALYs,1.98722E-05,4.44133E-06,5.50401E-05
Colombia,1990 - 2015,All ages,Both,Yellow fever,DALYs annual % change,-0.064734775,,
Colombia,2015,All ages,Both,Rabies,Percent of total DALYs,3.45E-07,2.61E-07,4.69E-07
Colombia,1990 - 2015,All ages,Both,Rabies,DALYs annual % change,-0.172430886,,
Colombia,2015,All ages,Both,Intestinal nematode infections,Percent of total DALYs,0.006039946,0.0039363,0.009121286
Colombia,1990 - 2015,All ages,Both,Intestinal nematode infections,DALYs annual % change,-0.018699091,,
Colombia,2015,All ages,Both,Food-borne trematodiases,Percent of total DALYs,0,0,0
Colombia,1990 - 2015,All ages,Both,Food-borne trematodiases,DALYs annual % change,0,,
Colombia,2015,All ages,Both,Other neglected tropical diseases,Percent of total DALYs,0.000758432,0.000575457,0.001003186
Colombia,1990 - 2015,All ages,Both,Other neglected tropical diseases,DALYs annual % change,-0.030211507,,
Colombia,2015,All ages,Both,Maternal hemorrhage,Percent of total DALYs,0.000348909,0.000269126,0.000446874
Colombia,1990 - 2015,All ages,Both,Maternal hemorrhage,DALYs annual % change,-0.054276,,
Colombia,2015,All ages,Both,Maternal sepsis and other maternal infections,Percent of total DALYs,0.00020597,0.00015681,0.000264803
Colombia,1990 - 2015,All ages,Both,Maternal sepsis and other maternal infections,DALYs annual % change,-0.035591134,,
Colombia,2015,All ages,Both,Maternal hypertensive disorders,Percent of total DALYs,0.000611243,0.000472179,0.000783075
Colombia,1990 - 2015,All ages,Both,Maternal hypertensive disorders,DALYs annual % change,-0.047077555,,
Colombia,2015,All ages,Both,Maternal obstructed labor and uterine rupture,Percent of total DALYs,5.80115E-05,4.01748E-05,7.78099E-05
Colombia,1990 - 2015,All ages,Both,Maternal obstructed labor and uterine rupture,DALYs annual % change,-0.056504588,,
Colombia,2015,All ages,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",Percent of total DALYs,0.000298779,0.00022871,0.000392709
Colombia,1990 - 2015,All ages,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",DALYs annual % change,-0.064715612,,
Colombia,2015,All ages,Both,Indirect maternal deaths,Percent of total DALYs,0.000537166,0.000378242,0.000764736
Colombia,1990 - 2015,All ages,Both,Indirect maternal deaths,DALYs annual % change,-0.016772258,,
Colombia,2015,All ages,Both,Late maternal deaths,Percent of total DALYs,6.27843E-05,4.4066E-05,8.58618E-05
Colombia,1990 - 2015,All ages,Both,Late maternal deaths,DALYs annual % change,-0.036796452,,
Colombia,2015,All ages,Both,Other maternal disorders,Percent of total DALYs,0.000237976,0.000186864,0.000303911
Colombia,1990 - 2015,All ages,Both,Other maternal disorders,DALYs annual % change,-0.057344402,,
Colombia,2015,All ages,Both,Neonatal preterm birth complications,Percent of total DALYs,0.015572887,0.010511678,0.021553257
Colombia,1990 - 2015,All ages,Both,Neonatal preterm birth complications,DALYs annual % change,-0.047845361,,
Colombia,2015,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total DALYs,0.007106462,0.004898434,0.009737715
Colombia,1990 - 2015,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,DALYs annual % change,-0.062585046,,
Colombia,2015,All ages,Both,Neonatal sepsis and other neonatal infections,Percent of total DALYs,0.008609793,0.004961374,0.016095168
Colombia,1990 - 2015,All ages,Both,Neonatal sepsis and other neonatal infections,DALYs annual % change,-0.020454821,,
Colombia,2015,All ages,Both,Hemolytic disease and other neonatal jaundice,Percent of total DALYs,0.0007272,0.000570523,0.000895983
Colombia,1990 - 2015,All ages,Both,Hemolytic disease and other neonatal jaundice,DALYs annual % change,-0.057013762,,
Colombia,2015,All ages,Both,Other neonatal disorders,Percent of total DALYs,0.006062134,0.003806982,0.008888373
Colombia,1990 - 2015,All ages,Both,Other neonatal disorders,DALYs annual % change,-0.017386548,,
Colombia,2015,All ages,Both,Protein-energy malnutrition,Percent of total DALYs,0.007288806,0.005848912,0.009194752
