Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Colombia,2015,All ages,Both,Tuberculosis,Percent of total deaths,0.003903259,0.003598177,0.004249698
Colombia,1990 - 2015,All ages,Both,Tuberculosis,Deaths annual % change,-0.035782449,,
Colombia,2015,All ages,Both,HIV/AIDS,Percent of total deaths,0.011005669,0.010325266,0.011753083
Colombia,1990 - 2015,All ages,Both,HIV/AIDS,Deaths annual % change,0.057030511,,
Colombia,2015,All ages,Both,Diarrheal diseases,Percent of total deaths,0.004145887,0.003493654,0.006027174
Colombia,1990 - 2015,All ages,Both,Diarrheal diseases,Deaths annual % change,-0.081554325,,
Colombia,2015,All ages,Both,Intestinal infectious diseases,Percent of total deaths,8.83E-05,4.30E-05,0.000159749
Colombia,1990 - 2015,All ages,Both,Intestinal infectious diseases,Deaths annual % change,-0.021940161,,
Colombia,2015,All ages,Both,Lower respiratory infections,Percent of total deaths,0.03737476,0.034333708,0.040870366
Colombia,1990 - 2015,All ages,Both,Lower respiratory infections,Deaths annual % change,-0.013217207,,
Colombia,2015,All ages,Both,Upper respiratory infections,Percent of total deaths,3.31E-05,1.40E-05,6.79E-05
Colombia,1990 - 2015,All ages,Both,Upper respiratory infections,Deaths annual % change,-0.020495552,,
Colombia,2015,All ages,Both,Otitis media,Percent of total deaths,3.74E-05,3.17E-05,4.68E-05
Colombia,1990 - 2015,All ages,Both,Otitis media,Deaths annual % change,-0.069415865,,
Colombia,2015,All ages,Both,Meningitis,Percent of total deaths,0.002279708,0.002064131,0.002573847
Colombia,1990 - 2015,All ages,Both,Meningitis,Deaths annual % change,-0.056356506,,
Colombia,2015,All ages,Both,Encephalitis,Percent of total deaths,0.001327146,0.001167274,0.001560807
Colombia,1990 - 2015,All ages,Both,Encephalitis,Deaths annual % change,-0.001388523,,
Colombia,2015,All ages,Both,Diphtheria,Percent of total deaths,4.22E-06,1.33E-06,9.36E-06
Colombia,1990 - 2015,All ages,Both,Diphtheria,Deaths annual % change,-0.066786358,,
Colombia,2015,All ages,Both,Whooping cough,Percent of total deaths,0.000108293,2.60E-05,0.000228248
Colombia,1990 - 2015,All ages,Both,Whooping cough,Deaths annual % change,-0.052835076,,
Colombia,2015,All ages,Both,Tetanus,Percent of total deaths,5.80E-05,4.85E-05,7.33E-05
Colombia,1990 - 2015,All ages,Both,Tetanus,Deaths annual % change,-0.117199808,,
Colombia,2015,All ages,Both,Measles,Percent of total deaths,1.03E-08,0,5.52E-08
Colombia,1990 - 2015,All ages,Both,Measles,Deaths annual % change,-0.463022354,,
Colombia,2015,All ages,Both,Varicella and herpes zoster,Percent of total deaths,0.00027983,0.000159982,0.000461172
Colombia,1990 - 2015,All ages,Both,Varicella and herpes zoster,Deaths annual % change,-0.010223846,,
Colombia,2015,All ages,Both,Malaria,Percent of total deaths,0.000143337,0.000104255,0.000201991
Colombia,1990 - 2015,All ages,Both,Malaria,Deaths annual % change,-0.084617609,,
Colombia,2015,All ages,Both,Chagas disease,Percent of total deaths,0.00064806,0.000591876,0.000705194
Colombia,1990 - 2015,All ages,Both,Chagas disease,Deaths annual % change,0.01877633,,
Colombia,2015,All ages,Both,Leishmaniasis,Percent of total deaths,4.55E-05,3.29E-05,6.29E-05
Colombia,1990 - 2015,All ages,Both,Leishmaniasis,Deaths annual % change,-0.012437458,,
Colombia,2015,All ages,Both,African trypanosomiasis,Percent of total deaths,0,0,0
Colombia,1990 - 2015,All ages,Both,African trypanosomiasis,Deaths annual % change,0,,
Colombia,2015,All ages,Both,Schistosomiasis,Percent of total deaths,0,0,0
Colombia,1990 - 2015,All ages,Both,Schistosomiasis,Deaths annual % change,0,,
Colombia,2015,All ages,Both,Cysticercosis,Percent of total deaths,2.67E-05,2.47E-05,2.88E-05
Colombia,1990 - 2015,All ages,Both,Cysticercosis,Deaths annual % change,-0.081168496,,
Colombia,2015,All ages,Both,Cystic echinococcosis,Percent of total deaths,6.73E-06,6.33E-06,7.16E-06
Colombia,1990 - 2015,All ages,Both,Cystic echinococcosis,Deaths annual % change,-0.051416635,,
Colombia,2015,All ages,Both,Lymphatic filariasis,Percent of total deaths,0,0,0
Colombia,1990 - 2015,All ages,Both,Lymphatic filariasis,Deaths annual % change,0,,
Colombia,2015,All ages,Both,Onchocerciasis,Percent of total deaths,0,0,0
Colombia,1990 - 2015,All ages,Both,Onchocerciasis,Deaths annual % change,0,,
Colombia,2015,All ages,Both,Trachoma,Percent of total deaths,0,0,0
Colombia,1990 - 2015,All ages,Both,Trachoma,Deaths annual % change,0,,
Colombia,2015,All ages,Both,Dengue,Percent of total deaths,0.000877932,0.000139354,0.001388935
Colombia,1990 - 2015,All ages,Both,Dengue,Deaths annual % change,0.114147209,,
Colombia,2015,All ages,Both,Yellow fever,Percent of total deaths,1.63E-05,3.55E-06,4.53E-05
Colombia,1990 - 2015,All ages,Both,Yellow fever,Deaths annual % change,-0.060040695,,
Colombia,2015,All ages,Both,Rabies,Percent of total deaths,5.28E-07,3.87E-07,7.29E-07
Colombia,1990 - 2015,All ages,Both,Rabies,Deaths annual % change,-0.141968859,,
Colombia,2015,All ages,Both,Intestinal nematode infections,Percent of total deaths,0.000232505,0.000153435,0.000326571
Colombia,1990 - 2015,All ages,Both,Intestinal nematode infections,Deaths annual % change,-0.038197169,,
Colombia,2015,All ages,Both,Food-borne trematodiases,Percent of total deaths,0,0,0
Colombia,1990 - 2015,All ages,Both,Food-borne trematodiases,Deaths annual % change,0,,
Colombia,2015,All ages,Both,Other neglected tropical diseases,Percent of total deaths,0.000121276,9.17E-05,0.000228135
Colombia,1990 - 2015,All ages,Both,Other neglected tropical diseases,Deaths annual % change,-0.062657973,,
Colombia,2015,All ages,Both,Maternal hemorrhage,Percent of total deaths,0.000277522,0.000215382,0.000349561
Colombia,1990 - 2015,All ages,Both,Maternal hemorrhage,Deaths annual % change,-0.055022268,,
Colombia,2015,All ages,Both,Maternal sepsis and other maternal infections,Percent of total deaths,0.000160907,0.000123137,0.000202044
Colombia,1990 - 2015,All ages,Both,Maternal sepsis and other maternal infections,Deaths annual % change,-0.035258413,,
Colombia,2015,All ages,Both,Maternal hypertensive disorders,Percent of total deaths,0.00044024,0.000337855,0.000565471
Colombia,1990 - 2015,All ages,Both,Maternal hypertensive disorders,Deaths annual % change,-0.048952965,,
Colombia,2015,All ages,Both,Maternal obstructed labor and uterine rupture,Percent of total deaths,4.30E-05,3.05E-05,5.78E-05
