Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Colombia,2015,All ages,Both,Tuberculosis,Percent of total YLDs,0.000390825,0.000287018,0.000502634
Colombia,1990 - 2015,All ages,Both,Tuberculosis,YLDs annual % change,-0.023861807,,
Colombia,2015,All ages,Both,HIV/AIDS,Percent of total YLDs,0.001478602,0.000698361,0.002630383
Colombia,1990 - 2015,All ages,Both,HIV/AIDS,YLDs annual % change,0.068466911,,
Colombia,2015,All ages,Both,Diarrheal diseases,Percent of total YLDs,0.007326057,0.006251294,0.008495516
Colombia,1990 - 2015,All ages,Both,Diarrheal diseases,YLDs annual % change,-0.019150386,,
Colombia,2015,All ages,Both,Intestinal infectious diseases,Percent of total YLDs,9.40486E-06,7.91737E-06,1.10402E-05
Colombia,1990 - 2015,All ages,Both,Intestinal infectious diseases,YLDs annual % change,-0.027013691,,
Colombia,2015,All ages,Both,Lower respiratory infections,Percent of total YLDs,0.000442746,0.000368367,0.000519928
Colombia,1990 - 2015,All ages,Both,Lower respiratory infections,YLDs annual % change,-0.020357409,,
Colombia,2015,All ages,Both,Upper respiratory infections,Percent of total YLDs,0.00473567,0.00301038,0.007444991
Colombia,1990 - 2015,All ages,Both,Upper respiratory infections,YLDs annual % change,-0.00387079,,
Colombia,2015,All ages,Both,Otitis media,Percent of total YLDs,0.004020184,0.00303317,0.005290981
Colombia,1990 - 2015,All ages,Both,Otitis media,YLDs annual % change,-0.010834971,,
Colombia,2015,All ages,Both,Meningitis,Percent of total YLDs,0.000564272,0.000477659,0.00064748
Colombia,1990 - 2015,All ages,Both,Meningitis,YLDs annual % change,-0.002605622,,
Colombia,2015,All ages,Both,Encephalitis,Percent of total YLDs,0.000143666,0.000118775,0.000170541
Colombia,1990 - 2015,All ages,Both,Encephalitis,YLDs annual % change,0.002072642,,
Colombia,2015,All ages,Both,Diphtheria,Percent of total YLDs,6.58E-09,2.22E-09,1.48E-08
Colombia,1990 - 2015,All ages,Both,Diphtheria,YLDs annual % change,-0.06342957,,
Colombia,2015,All ages,Both,Whooping cough,Percent of total YLDs,5.27912E-05,3.49758E-05,7.36546E-05
Colombia,1990 - 2015,All ages,Both,Whooping cough,YLDs annual % change,-0.05880383,,
Colombia,2015,All ages,Both,Tetanus,Percent of total YLDs,4.22218E-06,3.34186E-06,5.28656E-06
Colombia,1990 - 2015,All ages,Both,Tetanus,YLDs annual % change,-0.011080731,,
Colombia,2015,All ages,Both,Measles,Percent of total YLDs,5.69E-10,0,1.57E-09
Colombia,1990 - 2015,All ages,Both,Measles,YLDs annual % change,-0.388224818,,
Colombia,2015,All ages,Both,Varicella and herpes zoster,Percent of total YLDs,0.000261561,0.000181047,0.000352807
Colombia,1990 - 2015,All ages,Both,Varicella and herpes zoster,YLDs annual % change,0.006913831,,
Colombia,2015,All ages,Both,Malaria,Percent of total YLDs,0.000519117,0.000239456,0.001142496
Colombia,1990 - 2015,All ages,Both,Malaria,YLDs annual % change,-0.037492205,,
Colombia,2015,All ages,Both,Chagas disease,Percent of total YLDs,0.000424528,0.00031614,0.000556513
