Location,Year,Age,Sex,Cause of death or injury,Measure,Value,Lower bound,Upper bound
Colombia,2015,All ages,Both,Tuberculosis,Percent of total YLLs,0.004231091,0.003889348,0.004627737
Colombia,1990 - 2015,All ages,Both,Tuberculosis,YLLs annual % change,-0.046925083,,
Colombia,2015,All ages,Both,HIV/AIDS,Percent of total YLLs,0.018957092,0.01754417,0.020506275
Colombia,1990 - 2015,All ages,Both,HIV/AIDS,YLLs annual % change,0.054123729,,
Colombia,2015,All ages,Both,Diarrheal diseases,Percent of total YLLs,0.006974819,0.005664893,0.009384808
Colombia,1990 - 2015,All ages,Both,Diarrheal diseases,YLLs annual % change,-0.103012242,,
Colombia,2015,All ages,Both,Intestinal infectious diseases,Percent of total YLLs,0.000140358,6.80149E-05,0.000260806
Colombia,1990 - 2015,All ages,Both,Intestinal infectious diseases,YLLs annual % change,-0.033527156,,
Colombia,2015,All ages,Both,Lower respiratory infections,Percent of total YLLs,0.039506204,0.035761717,0.043908703
Colombia,1990 - 2015,All ages,Both,Lower respiratory infections,YLLs annual % change,-0.041020479,,
Colombia,2015,All ages,Both,Upper respiratory infections,Percent of total YLLs,4.07211E-05,1.97809E-05,7.03955E-05
Colombia,1990 - 2015,All ages,Both,Upper respiratory infections,YLLs annual % change,-0.036568869,,
Colombia,2015,All ages,Both,Otitis media,Percent of total YLLs,8.95908E-05,7.22922E-05,0.00011911
Colombia,1990 - 2015,All ages,Both,Otitis media,YLLs annual % change,-0.074322914,,
Colombia,2015,All ages,Both,Meningitis,Percent of total YLLs,0.00482877,0.004247907,0.005766134
Colombia,1990 - 2015,All ages,Both,Meningitis,YLLs annual % change,-0.067204466,,
Colombia,2015,All ages,Both,Encephalitis,Percent of total YLLs,0.002722614,0.00236639,0.003488705
Colombia,1990 - 2015,All ages,Both,Encephalitis,YLLs annual % change,-0.010368771,,
Colombia,2015,All ages,Both,Diphtheria,Percent of total YLLs,1.10632E-05,3.06862E-06,2.72537E-05
Colombia,1990 - 2015,All ages,Both,Diphtheria,YLLs annual % change,-0.070235123,,
Colombia,2015,All ages,Both,Whooping cough,Percent of total YLLs,0.000340437,7.86813E-05,0.000725639
Colombia,1990 - 2015,All ages,Both,Whooping cough,YLLs annual % change,-0.053350056,,
Colombia,2015,All ages,Both,Tetanus,Percent of total YLLs,0.000109899,9.01972E-05,0.00013648
Colombia,1990 - 2015,All ages,Both,Tetanus,YLLs annual % change,-0.129499965,,
Colombia,2015,All ages,Both,Measles,Percent of total YLLs,3.24E-08,0,1.74E-07
Colombia,1990 - 2015,All ages,Both,Measles,YLLs annual % change,-0.463114775,,
Colombia,2015,All ages,Both,Varicella and herpes zoster,Percent of total YLLs,0.000497153,0.000312944,0.000928748
Colombia,1990 - 2015,All ages,Both,Varicella and herpes zoster,YLLs annual % change,-0.022803501,,
Colombia,2015,All ages,Both,Malaria,Percent of total YLLs,0.000259602,0.000178709,0.000374561
Colombia,1990 - 2015,All ages,Both,Malaria,YLLs annual % change,-0.095555871,,
Colombia,2015,All ages,Both,Chagas disease,Percent of total YLLs,0.000570894,0.000516386,0.000630285
Colombia,1990 - 2015,All ages,Both,Chagas disease,YLLs annual % change,0.012055682,,
Colombia,2015,All ages,Both,Leishmaniasis,Percent of total YLLs,8.61158E-05,6.2445E-05,0.000119116
Colombia,1990 - 2015,All ages,Both,Leishmaniasis,YLLs annual % change,-0.020176329,,
Colombia,2015,All ages,Both,African trypanosomiasis,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,African trypanosomiasis,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Schistosomiasis,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Schistosomiasis,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Cysticercosis,Percent of total YLLs,4.12489E-05,3.74375E-05,4.52004E-05
Colombia,1990 - 2015,All ages,Both,Cysticercosis,YLLs annual % change,-0.086805329,,
Colombia,2015,All ages,Both,Cystic echinococcosis,Percent of total YLLs,9.64875E-06,8.86472E-06,1.04423E-05
Colombia,1990 - 2015,All ages,Both,Cystic echinococcosis,YLLs annual % change,-0.060614183,,
Colombia,2015,All ages,Both,Lymphatic filariasis,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Lymphatic filariasis,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Onchocerciasis,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Onchocerciasis,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Trachoma,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Trachoma,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Dengue,Percent of total YLLs,0.001876648,0.000209661,0.00317566
Colombia,1990 - 2015,All ages,Both,Dengue,YLLs annual % change,0.110646037,,
Colombia,2015,All ages,Both,Yellow fever,Percent of total YLLs,3.58008E-05,7.85341E-06,9.73834E-05
Colombia,1990 - 2015,All ages,Both,Yellow fever,YLLs annual % change,-0.064738716,,
Colombia,2015,All ages,Both,Rabies,Percent of total YLLs,6.21E-07,4.89E-07,8.25E-07
Colombia,1990 - 2015,All ages,Both,Rabies,YLLs annual % change,-0.172434382,,
Colombia,2015,All ages,Both,Intestinal nematode infections,Percent of total YLLs,0.000583123,0.000373777,0.000850558
Colombia,1990 - 2015,All ages,Both,Intestinal nematode infections,YLLs annual % change,-0.043820352,,
Colombia,2015,All ages,Both,Food-borne trematodiases,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Food-borne trematodiases,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Other neglected tropical diseases,Percent of total YLLs,0.000246986,0.000181454,0.000455302
Colombia,1990 - 2015,All ages,Both,Other neglected tropical diseases,YLLs annual % change,-0.072260932,,
Colombia,2015,All ages,Both,Maternal hemorrhage,Percent of total YLLs,0.000587971,0.000453723,0.000744061
Colombia,1990 - 2015,All ages,Both,Maternal hemorrhage,YLLs annual % change,-0.055413895,,
Colombia,2015,All ages,Both,Maternal sepsis and other maternal infections,Percent of total YLLs,0.000341763,0.000259174,0.000435939
Colombia,1990 - 2015,All ages,Both,Maternal sepsis and other maternal infections,YLLs annual % change,-0.036329939,,
Colombia,2015,All ages,Both,Maternal hypertensive disorders,Percent of total YLLs,0.000958917,0.000725065,0.001232649
Colombia,1990 - 2015,All ages,Both,Maternal hypertensive disorders,YLLs annual % change,-0.049824689,,
Colombia,2015,All ages,Both,Maternal obstructed labor and uterine rupture,Percent of total YLLs,9.17641E-05,6.3102E-05,0.000124134
Colombia,1990 - 2015,All ages,Both,Maternal obstructed labor and uterine rupture,YLLs annual % change,-0.059190478,,
Colombia,2015,All ages,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",Percent of total YLLs,0.000481261,0.000366469,0.000636372
Colombia,1990 - 2015,All ages,Both,"Maternal abortion, miscarriage, and ectopic pregnancy",YLLs annual % change,-0.067533315,,
Colombia,2015,All ages,Both,Indirect maternal deaths,Percent of total YLLs,0.000967822,0.000692036,0.001344934
Colombia,1990 - 2015,All ages,Both,Indirect maternal deaths,YLLs annual % change,-0.016772258,,
Colombia,2015,All ages,Both,Late maternal deaths,Percent of total YLLs,0.000113076,8.3589E-05,0.000151184
Colombia,1990 - 2015,All ages,Both,Late maternal deaths,YLLs annual % change,-0.036796452,,
Colombia,2015,All ages,Both,Other maternal disorders,Percent of total YLLs,0.000396854,0.000315476,0.000489783
Colombia,1990 - 2015,All ages,Both,Other maternal disorders,YLLs annual % change,-0.058552387,,
Colombia,2015,All ages,Both,Neonatal preterm birth complications,Percent of total YLLs,0.023838647,0.015399651,0.032867742
Colombia,1990 - 2015,All ages,Both,Neonatal preterm birth complications,YLLs annual % change,-0.052070781,,
Colombia,2015,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,Percent of total YLLs,0.010045442,0.006544024,0.014094423
Colombia,1990 - 2015,All ages,Both,Neonatal encephalopathy due to birth asphyxia and trauma,YLLs annual % change,-0.0702716,,
Colombia,2015,All ages,Both,Neonatal sepsis and other neonatal infections,Percent of total YLLs,0.015466323,0.009320005,0.028175858
Colombia,1990 - 2015,All ages,Both,Neonatal sepsis and other neonatal infections,YLLs annual % change,-0.020451268,,
Colombia,2015,All ages,Both,Hemolytic disease and other neonatal jaundice,Percent of total YLLs,0.000463572,0.000289772,0.000685333
Colombia,1990 - 2015,All ages,Both,Hemolytic disease and other neonatal jaundice,YLLs annual % change,-0.091110552,,
Colombia,2015,All ages,Both,Other neonatal disorders,Percent of total YLLs,0.009490368,0.005986,0.013581858
Colombia,1990 - 2015,All ages,Both,Other neonatal disorders,YLLs annual % change,-0.021390654,,
Colombia,2015,All ages,Both,Protein-energy malnutrition,Percent of total YLLs,0.012600998,0.010457675,0.015483689
Colombia,1990 - 2015,All ages,Both,Protein-energy malnutrition,YLLs annual % change,-0.035652985,,
Colombia,2015,All ages,Both,Iodine deficiency,Percent of total YLLs,2.075E-05,3.27243E-06,6.81663E-05
Colombia,1990 - 2015,All ages,Both,Iodine deficiency,YLLs annual % change,-0.041303105,,
Colombia,2015,All ages,Both,Vitamin A deficiency,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Vitamin A deficiency,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Iron-deficiency anemia,Percent of total YLLs,5.55144E-05,3.79383E-05,8.05937E-05
Colombia,1990 - 2015,All ages,Both,Iron-deficiency anemia,YLLs annual % change,-0.015611577,,
Colombia,2015,All ages,Both,Other nutritional deficiencies,Percent of total YLLs,0.000298845,0.000226745,0.00038683
Colombia,1990 - 2015,All ages,Both,Other nutritional deficiencies,YLLs annual % change,-0.059008242,,
Colombia,2015,All ages,Both,Sexually transmitted diseases excluding HIV,Percent of total YLLs,0.000861205,0.0004814,0.001555229
Colombia,1990 - 2015,All ages,Both,Sexually transmitted diseases excluding HIV,YLLs annual % change,-0.104713,,
Colombia,2015,All ages,Both,Hepatitis,Percent of total YLLs,0.000484254,0.000431984,0.000546805
Colombia,1990 - 2015,All ages,Both,Hepatitis,YLLs annual % change,-0.059315437,,
Colombia,2015,All ages,Both,Leprosy,Percent of total YLLs,0,0,0
Colombia,1990 - 2015,All ages,Both,Leprosy,YLLs annual % change,0,,
Colombia,2015,All ages,Both,Other infectious diseases,Percent of total YLLs,0.001746871,0.001530464,0.002072323
Colombia,1990 - 2015,All ages,Both,Other infectious diseases,YLLs annual % change,-0.018038248,,
Colombia,2015,All ages,Both,Esophageal cancer,Percent of total YLLs,0.002770049,0.002491686,0.003055154
Colombia,1990 - 2015,All ages,Both,Esophageal cancer,YLLs annual % change,-0.00542919,,
Colombia,2015,All ages,Both,Stomach cancer,Percent of total YLLs,0.01900587,0.017587935,0.020326647
Colombia,1990 - 2015,All ages,Both,Stomach cancer,YLLs annual % change,-0.004547096,,
Colombia,2015,All ages,Both,Liver cancer,Percent of total YLLs,0.007534144,0.00680881,0.008322417
Colombia,1990 - 2015,All ages,Both,Liver cancer,YLLs annual % change,0.010015975,,
Colombia,2015,All ages,Both,Larynx cancer,Percent of total YLLs,0.001685137,0.001497437,0.001869668
Colombia,1990 - 2015,All ages,Both,Larynx cancer,YLLs annual % change,-0.00593051,,
Colombia,2015,All ages,Both,"Tracheal, bronchus, and lung cancer",Percent of total YLLs,0.017530319,0.016193537,0.018839577
Colombia,1990 - 2015,All ages,Both,"Tracheal, bronchus, and lung cancer",YLLs annual % change,0.010428636,,
Colombia,2015,All ages,Both,Breast cancer,Percent of total YLLs,0.01415961,0.012083438,0.015994037
Colombia,1990 - 2015,All ages,Both,Breast cancer,YLLs annual % change,0.015280214,,
Colombia,2015,All ages,Both,Cervical cancer,Percent of total YLLs,0.009589776,0.008648061,0.010648277
Colombia,1990 - 2015,All ages,Both,Cervical cancer,YLLs annual % change,-0.00404981,,
Colombia,2015,All ages,Both,Uterine cancer,Percent of total YLLs,0.001505351,0.001262793,0.001835516
Colombia,1990 - 2015,All ages,Both,Uterine cancer,YLLs annual % change,-0.008745088,,
Colombia,2015,All ages,Both,Prostate cancer,Percent of total YLLs,0.007216818,0.004296468,0.008607662
Colombia,1990 - 2015,All ages,Both,Prostate cancer,YLLs annual % change,0.01546575,,
Colombia,2015,All ages,Both,Colon and rectum cancer,Percent of total YLLs,0.012943375,0.011797633,0.014101313
Colombia,1990 - 2015,All ages,Both,Colon and rectum cancer,YLLs annual % change,0.016432054,,
Colombia,2015,All ages,Both,Lip and oral cavity cancer,Percent of total YLLs,0.001658774,0.001493061,0.001831453
Colombia,1990 - 2015,All ages,Both,Lip and oral cavity cancer,YLLs annual % change,0.001731547,,
Colombia,2015,All ages,Both,Nasopharynx cancer,Percent of total YLLs,0.000614663,0.000541051,0.000688714
Colombia,1990 - 2015,All ages,Both,Nasopharynx cancer,YLLs annual % change,-0.004728963,,
Colombia,2015,All ages,Both,Other pharynx cancer,Percent of total YLLs,0.000640536,0.000573938,0.000718641
Colombia,1990 - 2015,All ages,Both,Other pharynx cancer,YLLs annual % change,-0.008245272,,
Colombia,2015,All ages,Both,Gallbladder and biliary tract cancer,Percent of total YLLs,0.003316109,0.002956619,0.003746682
Colombia,1990 - 2015,All ages,Both,Gallbladder and biliary tract cancer,YLLs annual % change,-0.012843775,,
Colombia,2015,All ages,Both,Pancreatic cancer,Percent of total YLLs,0.006200751,0.00567418,0.006717614
Colombia,1990 - 2015,All ages,Both,Pancreatic cancer,YLLs annual % change,0.0093465,,
Colombia,2015,All ages,Both,Malignant skin melanoma,Percent of total YLLs,0.001315935,0.000866757,0.0017528
Colombia,1990 - 2015,All ages,Both,Malignant skin melanoma,YLLs annual % change,0.017892921,,
Colombia,2015,All ages,Both,Non-melanoma skin cancer,Percent of total YLLs,0.001504021,0.001338771,0.001686419
Colombia,1990 - 2015,All ages,Both,Non-melanoma skin cancer,YLLs annual % change,0.012845922,,
Colombia,2015,All ages,Both,Ovarian cancer,Percent of total YLLs,0.004501548,0.004000723,0.005018697
Colombia,1990 - 2015,All ages,Both,Ovarian cancer,YLLs annual % change,0.008895022,,
Colombia,2015,All ages,Both,Testicular cancer,Percent of total YLLs,0.000716613,0.000589801,0.000881351
Colombia,1990 - 2015,All ages,Both,Testicular cancer,YLLs annual % change,-0.003354296,,
Colombia,2015,All ages,Both,Kidney cancer,Percent of total YLLs,0.002627793,0.002352891,0.002924476
Colombia,1990 - 2015,All ages,Both,Kidney cancer,YLLs annual % change,0.012779167,,
Colombia,2015,All ages,Both,Bladder cancer,Percent of total YLLs,0.001718545,0.001495798,0.001940815
Colombia,1990 - 2015,All ages,Both,Bladder cancer,YLLs annual % change,0.004081253,,
Colombia,2015,All ages,Both,Brain and nervous system cancer,Percent of total YLLs,0.007882407,0.00697892,0.008771064
