"location_name","location_code","hale.1990","hale.1995","hale.2000","hale.2005","hale.2010","hale.2015","le.1990","le.1995","le.2000","le.2005","le.2010","le.2015"
"Afghanistan","AFG",49.5,49.4,50.1,52,53.6,53.8,42.427295,42.333884,43.130858,44.934135,46.383722,46.597797
"Albania","ALB",73.3,73.7,74.7,76.2,77.2,78,64.107507,64.417804,65.330518,66.775757,67.835045,68.554079
"Algeria","DZA",70.2,71.6,73.3,74.8,76,76.4,60.987303,62.152808,63.647284,64.964002,65.962699,66.281901
"American Samoa","ASM",70.2,70.6,71.7,72,72.8,72.9,61.491687,61.769606,62.554588,62.829614,63.465077,63.58217
"Andorra","AND",81.7,82.6,83.7,84.3,84.7,84.8,71.288641,72.052368,72.971408,73.486318,73.895686,73.943661
"Angola","AGO",48.6,50.9,52.3,55.2,57.6,59.6,42.449261,44.394258,45.502444,48.042269,50.103171,52.04106
"Antigua and Barbuda","ATG",73.5,73.5,73.8,74.9,75.8,76.4,64.553862,64.428757,64.591779,65.461192,66.29127,66.773529
"Argentina","ARG",72.5,73.5,74.2,75.3,75.8,76.5,64.198433,65.026799,65.628836,66.583107,67.126745,67.642054
"Armenia","ARM",70.1,69.1,71.3,71.8,73,74.7,61.505757,60.807867,62.708773,63.231301,64.324111,65.721969
"Australia","AUS",77,78.3,79.8,81.2,82,82.3,67.106193,68.183294,69.239443,70.426086,71.162174,71.406373
"Austria","AUT",75.7,76.8,78.2,79.5,80.5,81.3,66.394227,67.346835,68.395582,69.51037,70.382946,71.054348
"Azerbaijan","AZE",65.6,64.6,66.5,68.2,70.1,72.9,57.931999,57.109593,58.775953,60.341449,61.974614,64.206037
"Bahrain","BHR",71.8,73,73.7,76.1,78.7,79.1,61.99347,62.807529,63.384391,65.474876,67.599697,68.001174
"Bangladesh","BGD",57.9,61.6,64.9,67.1,68.8,70.4,49.79799,53.057178,56.023497,57.933739,59.629124,61.043647
"Barbados","BRB",73,73.3,74,75,75.2,75.7,63.971095,64.106706,64.681211,65.466137,65.68863,66.027466
"Belarus","BLR",70.5,68.2,68.1,68.7,70.2,71,61.894622,60.100916,60.1187,60.619191,61.932664,62.537871
"Belgium","BEL",76,76.9,77.8,79.1,80.1,80.5,66.602577,67.250617,67.928198,69.075812,69.914366,70.308617
"Belize","BLZ",71.4,70.5,69,70,71.2,71.7,62.654714,61.981661,60.690261,61.511087,62.505031,62.967937
"Benin","BEN",56.1,56.7,57.2,58.6,60.8,62.3,48.252492,48.991352,49.57458,51.046298,53.150799,54.770737
"Bermuda","BMU",71.1,72.5,74.1,76.4,77.6,78.5,62.542016,63.720187,65.05165,66.87591,67.958164,68.591966
