Risk - Outcome,Category / Units,Morbidity / Mortality,Sex,All ages,0-6 Days,7-27 Days,28-364 Days,1-4 years,5-9 years,10-14 years,15-19 years,20-24 years,25-29 years,30-34 years,35-39 years,40-44 years,45-49 years,50-54 years,55-59 years,60-64 years,65-69 years,70-74 years,75-79 years,80+ years
Unsafe water source,,,,,,,,,,,,,,,,,,,,,,,,
Diarrhoeal diseases,Unimproved & untreated,Both,Both,,"11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)","11.238
(3.643 to 25.544)"
Diarrhoeal diseases,Unimproved & chlorinated,Both,Both,,"9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)","9.151
(3.165 to 20.449)"
Diarrhoeal diseases,Unimproved & filtered,Both,Both,,"5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)","5.857
(2.065 to 13.038)"
Diarrhoeal diseases,Improved & untreated,Both,Both,,"9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)","9.705
(3.700 to 20.399)"
Diarrhoeal diseases,Improved & chlorinated,Both,Both,,"7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)","7.904
(3.202 to 16.211)"
Diarrhoeal diseases,Improved & filtered,Both,Both,,"5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)","5.059
(2.094 to 10.265)"
Diarrhoeal diseases,"Piped & untreated, all locations except Eastern Europe and Southern Latin America",Both,Both,,"8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)","8.331
(3.355 to 16.932)"
Diarrhoeal diseases,"Piped & chlorinated, all locations except Eastern Europe and Southern Latin America",Both,Both,,"6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)","6.785
(2.895 to 13.410)"
Diarrhoeal diseases,"Piped & filtered, all locations except Eastern Europe and Southern Latin America",Both,Both,,"4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)","4.343
(1.905 to 8.494)"
